Age Group,Theme,Length,Page #,Story Text (Template),Image Prompt (Template),Moral / Lesson,Variables,Mode Minimum Inputs,Mode Optional Inputs
0-1,Adventure & Exploration,20,11,Page 11: {hero_name} experiences victory moment.,"Illustration of {hero_name}, {hero_description}, in scene 'victory moment', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,12,Page 12: {hero_name} experiences celebration.,"Illustration of {hero_name}, {hero_description}, in scene 'celebration', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,13,Page 13: {hero_name} experiences return home.,"Illustration of {hero_name}, {hero_description}, in scene 'return home', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,14,Page 14: {hero_name} experiences reflection.,"Illustration of {hero_name}, {hero_description}, in scene 'reflection', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,15,Page 15: {hero_name} experiences lesson learned.,"Illustration of {hero_name}, {hero_description}, in scene 'lesson learned', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,16,Page 16: {hero_name} experiences hero introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'hero introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,17,Page 17: {hero_name} experiences friend introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'friend introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,18,Page 18: {hero_name} experiences setting off on journey.,"Illustration of {hero_name}, {hero_description}, in scene 'setting off on journey', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,19,Page 19: {hero_name} experiences first challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'first challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,20,20,Page 20: {hero_name} experiences finding clue.,"Illustration of {hero_name}, {hero_description}, in scene 'finding clue', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,1,Page 1: {hero_name} experiences hero introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'hero introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,2,Page 2: {hero_name} experiences friend introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'friend introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,3,Page 3: {hero_name} experiences setting off on journey.,"Illustration of {hero_name}, {hero_description}, in scene 'setting off on journey', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,4,Page 4: {hero_name} experiences first challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'first challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,5,Page 5: {hero_name} experiences finding clue.,"Illustration of {hero_name}, {hero_description}, in scene 'finding clue', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,6,Page 6: {hero_name} experiences overcoming obstacle.,"Illustration of {hero_name}, {hero_description}, in scene 'overcoming obstacle', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,7,Page 7: {hero_name} experiences meeting a helper.,"Illustration of {hero_name}, {hero_description}, in scene 'meeting a helper', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,8,Page 8: {hero_name} experiences learning something new.,"Illustration of {hero_name}, {hero_description}, in scene 'learning something new', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,9,Page 9: {hero_name} experiences approaching main goal.,"Illustration of {hero_name}, {hero_description}, in scene 'approaching main goal', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,10,Page 10: {hero_name} experiences facing main challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'facing main challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,11,Page 11: {hero_name} experiences victory moment.,"Illustration of {hero_name}, {hero_description}, in scene 'victory moment', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,12,Page 12: {hero_name} experiences celebration.,"Illustration of {hero_name}, {hero_description}, in scene 'celebration', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,13,Page 13: {hero_name} experiences return home.,"Illustration of {hero_name}, {hero_description}, in scene 'return home', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,14,Page 14: {hero_name} experiences reflection.,"Illustration of {hero_name}, {hero_description}, in scene 'reflection', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,15,Page 15: {hero_name} experiences lesson learned.,"Illustration of {hero_name}, {hero_description}, in scene 'lesson learned', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,16,Page 16: {hero_name} experiences hero introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'hero introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,17,Page 17: {hero_name} experiences friend introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'friend introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,18,Page 18: {hero_name} experiences setting off on journey.,"Illustration of {hero_name}, {hero_description}, in scene 'setting off on journey', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,19,Page 19: {hero_name} experiences first challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'first challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,20,Page 20: {hero_name} experiences finding clue.,"Illustration of {hero_name}, {hero_description}, in scene 'finding clue', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,21,Page 21: {hero_name} experiences overcoming obstacle.,"Illustration of {hero_name}, {hero_description}, in scene 'overcoming obstacle', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,22,Page 22: {hero_name} experiences meeting a helper.,"Illustration of {hero_name}, {hero_description}, in scene 'meeting a helper', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,23,Page 23: {hero_name} experiences learning something new.,"Illustration of {hero_name}, {hero_description}, in scene 'learning something new', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,24,Page 24: {hero_name} experiences approaching main goal.,"Illustration of {hero_name}, {hero_description}, in scene 'approaching main goal', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,25,Page 25: {hero_name} experiences facing main challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'facing main challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,26,Page 26: {hero_name} experiences victory moment.,"Illustration of {hero_name}, {hero_description}, in scene 'victory moment', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,27,Page 27: {hero_name} experiences celebration.,"Illustration of {hero_name}, {hero_description}, in scene 'celebration', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,28,Page 28: {hero_name} experiences return home.,"Illustration of {hero_name}, {hero_description}, in scene 'return home', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,29,Page 29: {hero_name} experiences reflection.,"Illustration of {hero_name}, {hero_description}, in scene 'reflection', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Adventure & Exploration,30,30,Page 30: {hero_name} experiences lesson learned.,"Illustration of {hero_name}, {hero_description}, in scene 'lesson learned', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Courage comes from trying new things,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,1,Page 1: {hero_name} experiences hero introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'hero introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,2,Page 2: {hero_name} experiences friend introduction.,"Illustration of {hero_name}, {hero_description}, in scene 'friend introduction', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,3,Page 3: {hero_name} experiences setting off on journey.,"Illustration of {hero_name}, {hero_description}, in scene 'setting off on journey', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,4,Page 4: {hero_name} experiences first challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'first challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,5,Page 5: {hero_name} experiences finding clue.,"Illustration of {hero_name}, {hero_description}, in scene 'finding clue', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,6,Page 6: {hero_name} experiences overcoming obstacle.,"Illustration of {hero_name}, {hero_description}, in scene 'overcoming obstacle', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,7,Page 7: {hero_name} experiences meeting a helper.,"Illustration of {hero_name}, {hero_description}, in scene 'meeting a helper', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,8,Page 8: {hero_name} experiences learning something new.,"Illustration of {hero_name}, {hero_description}, in scene 'learning something new', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,9,Page 9: {hero_name} experiences approaching main goal.,"Illustration of {hero_name}, {hero_description}, in scene 'approaching main goal', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,10,Page 10: {hero_name} experiences facing main challenge.,"Illustration of {hero_name}, {hero_description}, in scene 'facing main challenge', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,11,Page 11: {hero_name} experiences victory moment.,"Illustration of {hero_name}, {hero_description}, in scene 'victory moment', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
0-1,Friendship & Kindness,20,12,Page 12: {hero_name} experiences celebration.,"Illustration of {hero_name}, {hero_description}, in scene 'celebration', bright whimsical storybook style, soft watercolour textures, rounded shapes, expressive faces, warm and inviting lighting",Kindness makes the world brighter,"hero_name, hero_description, friend_name, friend_name_description, setting, animal_type, guardian_creature, favourite_food, pet_name, dream_goal","hero_name, photo","friend_name, favourite_food, pet_name, animal_type, guardian_creature, dream_goal"
